setup,horizon_hours,signals,win_rate_pct,avg_return_pct,median_return_pct,worst_return_pct,best_return_pct
breakout_above_ma20,1,106,40.57,-0.1,-0.05,-1.97,0.74
breakout_above_ma20,3,106,43.4,-0.11,-0.08,-1.99,1.38
breakout_above_ma20,6,105,44.76,-0.14,-0.04,-2.42,2.31
breakout_above_ma20,12,103,56.31,-0.09,0.12,-3.39,2.89
breakout_above_ma20,24,101,56.44,-0.18,0.16,-6.91,4.03
breakout_above_ma20_rsi60,1,66,34.85,-0.14,-0.07,-1.19,0.74
breakout_above_ma20_rsi60,3,66,40.91,-0.11,-0.1,-1.99,1.24
breakout_above_ma20_rsi60,6,65,46.15,-0.15,-0.02,-2.42,2.31
breakout_above_ma20_rsi60,12,63,61.9,-0.09,0.2,-2.97,2.89
breakout_above_ma20_rsi60,24,63,58.73,-0.14,0.29,-5.38,4.03
breakout_above_ma20_volume,1,44,45.45,-0.06,-0.03,-0.88,0.74
breakout_above_ma20_volume,3,44,40.91,-0.1,-0.1,-1.61,1.24
breakout_above_ma20_volume,6,43,37.21,-0.19,-0.24,-2.07,2.31
breakout_above_ma20_volume,12,41,51.22,-0.24,0.02,-2.24,1.96
breakout_above_ma20_volume,24,41,51.22,-0.35,0.02,-5.38,3.29
strong_momentum,1,38,36.84,-0.11,-0.06,-0.88,0.74
strong_momentum,3,38,34.21,-0.14,-0.15,-1.61,1.24
strong_momentum,6,37,37.84,-0.2,-0.27,-2.07,2.31
strong_momentum,12,35,51.43,-0.3,0.02,-2.24,1.71
strong_momentum,24,35,51.43,-0.4,0.02,-5.38,2.78
