symbol,setup,horizon,signals,win_rate_pct,avg_return_pct,median_return_pct,worst_pct,best_pct
BTC,RSI2<10,1,211,46.92,-0.05,-0.07,-13.91,12.2
BTC,RSI2<10,3,211,61.14,0.61,0.81,-10.52,14.25
BTC,RSI2<10,5,209,57.42,0.69,0.53,-20.08,13.49
BTC,RSI2<10,10,209,53.59,0.75,0.43,-18.14,31.63
BTC,RSI2<10 & AboveMA200,1,67,41.79,-0.2,-0.07,-6.36,4.35
BTC,RSI2<10 & AboveMA200,3,67,58.21,-0.17,0.52,-9.46,6.31
BTC,RSI2<10 & AboveMA200,5,67,50.75,0.08,0.11,-6.02,9.2
BTC,RSI2<10 & AboveMA200,10,67,44.78,-0.34,-1.06,-12.54,11.25
BTC,RSI2<10 & BelowMA200,1,95,46.32,-0.04,-0.2,-13.91,12.2
BTC,RSI2<10 & BelowMA200,3,95,62.11,0.53,0.75,-10.52,11.85
BTC,RSI2<10 & BelowMA200,5,93,52.69,-0.05,0.5,-20.08,10.35
BTC,RSI2<10 & BelowMA200,10,93,51.61,-0.88,0.36,-18.14,11.22
ETH,RSI2<10,1,209,52.15,0.1,0.2,-14.89,21.91
ETH,RSI2<10,3,209,55.5,0.33,0.54,-19.54,42.7
ETH,RSI2<10,5,207,51.21,0.36,0.13,-25.51,37.76
ETH,RSI2<10,10,206,45.63,0.13,-0.66,-25.88,44.29
ETH,RSI2<10 & AboveMA200,1,37,48.65,0.22,-0.25,-8.4,10.86
ETH,RSI2<10 & AboveMA200,3,37,51.35,0.92,0.01,-8.09,18.54
ETH,RSI2<10 & AboveMA200,5,37,40.54,0.23,-0.53,-13.59,17.29
ETH,RSI2<10 & AboveMA200,10,37,43.24,0.44,-0.84,-15.5,35.28
ETH,RSI2<10 & BelowMA200,1,124,54.84,0.3,0.26,-14.89,21.91
ETH,RSI2<10 & BelowMA200,3,124,55.65,0.24,0.39,-19.54,42.7
ETH,RSI2<10 & BelowMA200,5,122,49.18,0.02,-0.26,-25.51,37.76
ETH,RSI2<10 & BelowMA200,10,121,47.11,-0.67,-0.46,-25.88,44.29
